CAR,TYPE,IN(s),OUT(s),WAIT(s),FLOW(s),能力判断,SEGMENTS
Car#1,C,0.0,1423.5,0.0,1423.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:0.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:56.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:167.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:275.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:396.0s 加:107.0s 等前:0.0s 等后:0.0s) | ST6 ARHUD+慢充(开:503.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:646.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:761.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:875.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:987.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:987.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1103.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1191.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1276.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:1373.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#2,C,58.0,1481.5,0.0,1423.5,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:58.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:114.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:225.0s 加:108.5s 等前:0.0s 等后:0.0s) | ST4 四轮定位上、下(开:333.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:454.0s 加:107.0s 等前:0.0s 等后:0.0s) | ST6 ARHUD+慢充(开:561.0s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:704.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:819.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:933.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1045.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1045.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1161.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1249.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1334.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:1431.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#3,C,116.0,1567.0,27.5,1451.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:116.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:172.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:283.0s 加:108.5s 等前:0.0s 等后:4.5s) | ST4 四轮定位上、下(开:396.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:516.5s 加:107.0s 等前:0.0s 等后:23.0s) | ST6 ARHUD+慢充(开:646.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:790.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:904.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1018.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1131.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1131.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1247.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1335.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1419.5s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:1517.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#4,B,174.0,1668.0,162.5,1494.0,能力超目标：四轮定位上、下,ST1 引取(开:174.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:230.0s 加:111.0s 等前:0.0s 等后:0.0s) | ST3 空气悬挂+快充(开:341.0s 加:108.5s 等前:0.0s 等后:4.5s) | ST4 四轮定位上、下(开:454.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:574.5s 加:107.0s 等前:0.0s 等后:23.0s) | ST6 ARHUD+慢充(开:704.5s 加:51.5s 等前:0.0s 等后:63.0s) | ST7 转毂(开:819.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:933.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1047.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1160.0s 加:0.0s 等前:0.0s 等后:1.5s) | ST11 气囊安装+绝缘(开:1161.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1277.5s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1365.5s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1450.0s 加:97.5s 等前:0.0s 等后:70.5s) | ST15 小跑道(开:1618.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#5,A,232.0,1618.0,525.0,1386.0,能力满足,ST1 引取(开:232.0s 加:55.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:287.0s 加:106.0s 等前:0.0s 等后:3.0s) | ST3 空气悬挂+快充(开:396.0s 加:0.0s 等前:0.0s 等后:120.5s) | ST4 四轮定位上、下(开:516.5s 加:115.0s 等前:0.0s 等后:15.0s) | ST5 ADAS(开:646.5s 加:97.0s 等前:0.0s 等后:46.5s) | ST6 ARHUD+慢充(开:790.0s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:904.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:1020.5s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:1131.0s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1246.0s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1344.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1344.0s 加:0.0s 等前:0.0s 等后:75.5s) | ST13 电检1(开:1419.5s 加:0.0s 等前:0.0s 等后:97.5s) | ST14 电检2(开:1517.0s 加:0.0s 等前:0.0s 等后:50.0s) | ST15 小跑道(开:1567.0s 加:51.0s 等前:0.0s 等后:0.0s)
Car#6,A,290.0,1770.0,619.0,1480.0,能力满足,ST1 引取(开:290.0s 加:55.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:345.0s 加:106.0s 等前:0.0s 等后:3.0s) | ST3 空气悬挂+快充(开:454.0s 加:0.0s 等前:0.0s 等后:120.5s) | ST4 四轮定位上、下(开:574.5s 加:115.0s 等前:0.0s 等后:15.0s) | ST5 ADAS(开:704.5s 加:97.0s 等前:0.0s 等后:17.5s) | ST6 ARHUD+慢充(开:819.0s 加:0.0s 等前:0.0s 等后:114.5s) | ST7 转毂(开:933.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:1049.5s 加:108.0s 等前:0.0s 等后:2.5s) | ST9 EG漏液/底盘漏液(开:1160.0s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1275.0s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1373.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1373.0s 加:0.0s 等前:0.0s 等后:77.0s) | ST13 电检1(开:1450.0s 加:0.0s 等前:0.0s 等后:168.0s) | ST14 电检2(开:1618.0s 加:0.0s 等前:0.0s 等后:101.0s) | ST15 小跑道(开:1719.0s 加:51.0s 等前:0.0s 等后:0.0s)
Car#7,A,348.0,1719.0,510.0,1371.0,能力满足,ST1 引取(开:348.0s 加:55.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:403.0s 加:106.0s 等前:0.0s 等后:7.5s) | ST3 空气悬挂+快充(开:516.5s 加:0.0s 等前:0.0s 等后:130.0s) | ST4 四轮定位上、下(开:646.5s 加:115.0s 等前:0.0s 等后:28.5s) | ST5 ADAS(开:790.0s 加:97.0s 等前:0.0s 等后:17.5s) | ST6 ARHUD+慢充(开:904.5s 加:0.0s 等前:0.0s 等后:116.0s) | ST7 转毂(开:1020.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST8 制动(开:1136.5s 加:108.0s 等前:0.0s 等后:1.5s) | ST9 EG漏液/底盘漏液(开:1246.0s 加:115.0s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1361.0s 加:98.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1459.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1459.0s 加:0.0s 等前:0.0s 等后:58.0s) | ST13 电检1(开:1517.0s 加:0.0s 等前:0.0s 等后:50.0s) | ST14 电检2(开:1567.0s 加:0.0s 等前:0.0s 等后:101.0s) | ST15 小跑道(开:1668.0s 加:51.0s 等前:0.0s 等后:0.0s)
Car#8,B,406.0,1866.5,129.0,1460.5,能力超目标：四轮定位上、下,ST1 引取(开:406.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:462.0s 加:111.0s 等前:0.0s 等后:1.5s) | ST3 空气悬挂+快充(开:574.5s 加:108.5s 等前:0.0s 等后:21.5s) | ST4 四轮定位上、下(开:704.5s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:825.0s 加:107.0s 等前:0.0s 等后:1.5s) | ST6 ARHUD+慢充(开:933.5s 加:51.5s 等前:0.0s 等后:64.5s) | ST7 转毂(开:1049.5s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1164.0s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1278.0s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1390.5s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1390.5s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1506.5s 加:88.0s 等前:0.0s 等后:23.5s) | ST13 电检1(开:1618.0s 加:84.5s 等前:0.0s 等后:16.5s) | ST14 电检2(开:1719.0s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:1816.5s 加:50.0s 等前:0.0s 等后:0.0s)
Car#9,C,464.0,1941.0,53.5,1477.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:464.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:520.0s 加:111.0s 等前:0.0s 等后:15.5s) | ST3 空气悬挂+快充(开:646.5s 加:108.5s 等前:0.0s 等后:35.0s) | ST4 四轮定位上、下(开:790.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:910.5s 加:107.0s 等前:0.0s 等后:3.0s) | ST6 ARHUD+慢充(开:1020.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1164.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1278.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1392.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1505.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1505.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1621.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1709.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1793.5s 加:97.5s 等前:0.0s 等后:0.0s) | ST15 小跑道(开:1891.0s 加:50.0s 等前:0.0s 等后:0.0s)
Car#10,C,522.0,1991.0,45.5,1469.0,能力超目标：四轮定位上、下、ARHUD+慢充,ST1 引取(开:522.0s 加:56.0s 等前:0.0s 等后:0.0s) | ST2 集约(开:578.0s 加:111.0s 等前:0.0s 等后:15.5s) | ST3 空气悬挂+快充(开:704.5s 加:108.5s 等前:0.0s 等后:12.0s) | ST4 四轮定位上、下(开:825.0s 加:120.5s 等前:0.0s 等后:0.0s) | ST5 ADAS(开:945.5s 加:107.0s 等前:0.0s 等后:0.0s) | ST6 ARHUD+慢充(开:1052.5s 加:143.5s 等前:0.0s 等后:0.0s) | ST7 转毂(开:1196.0s 加:114.5s 等前:0.0s 等后:0.0s) | ST8 制动(开:1310.5s 加:114.0s 等前:0.0s 等后:0.0s) | ST9 EG漏液/底盘漏液(开:1424.5s 加:112.5s 等前:0.0s 等后:0.0s) | ST10 全景/空调检查(开:1537.0s 加:0.0s 等前:0.0s 等后:0.0s) | ST11 气囊安装+绝缘(开:1537.0s 加:116.0s 等前:0.0s 等后:0.0s) | ST12 L2++(开:1653.0s 加:88.0s 等前:0.0s 等后:0.0s) | ST13 电检1(开:1741.0s 加:84.5s 等前:0.0s 等后:0.0s) | ST14 电检2(开:1825.5s 加:97.5s 等前:0.0s 等后:18.0s) | ST15 小跑道(开:1941.0s 加:50.0s 等前:0.0s 等后:0.0s)
